Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
leg,bodypart,gamba,17,2,there_are_2,eq,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,ND,0.333333,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,13,3,connected_to_foot,se,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,11,4,a_limb,ch,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,11,4,used_for_moving,sf,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,7,5,a_lower_limb,ch,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,7,5,has_bones,eci,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,7,5,has_muscles,eci,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,6,6,has_a_knee,ece,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
leg,bodypart,gamba,5,7,connected_to_waist,se,59807,10.9988779899443,5,2,11,9,0.818182,0.866667,9.932513,10,1.0,5.95614298257164,D,1.0,24,7,35,48,183,87.9673469387755,23.1170331185874,61.9452626522512,162.54705882263,0.871064586213707,IT
potato,vegetable,patata,24,1,is_edible,sa,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,0.0833333,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,20,2,a_tuber,ch,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,1.0,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,12,3,a_vegetable,ch,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,ND,0.2,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,12,3,grows_underground,sl,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,1.0,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,12,3,is_yellow,ese,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,ND,0.25,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,8,4,comes_from_America,sor,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,0.5,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,8,4,eaten_by_cooking,sa,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,ND,0.333333,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,8,4,eaten_by_frying,sa,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,1.0,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,6,5,eaten_by_boiling,sa,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,1.0,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,6,5,is_brown,ese,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,0.5,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
