Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
potato,vegetable,patata,5,6,eaten_by_oven_baking,sa,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,1.0,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
potato,vegetable,patata,5,6,is_yellow_inside,esi,21026,9.95351504613578,6,3,12,9,0.75,0.613889,9.944647,6,0.4,1.79364332524639,D,0.5,14,5,33,34,155,53.0060606060606,13.9449201167136,39.2512124743365,102.78989214903,0.91164952810255,IT
shoes,clothing,scarpe,26,1,worn_on_feet,sf,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,0.5,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,16,2,has_a_lace,ece,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,1.0,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,15,3,worn_for_walking,sf,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,1.0,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,9,4,has_a_sole,ece,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,1.0,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,9,4,worn_for_protecting_feet,sf,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,0.5,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,8,5,clothing,ch,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,ND,0.2,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,8,5,different_colours,ese,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,ND,0.142857,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,8,5,different_kinds,eq,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,0.5,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
shoes,clothing,scarpe,7,6,worn_for_covering_feet,sf,37436,10.5303880872771,6,2,9,7,0.777778,0.649206,12.044588,1,0.333333,0.135288820022841,D,1.0,16,8,35,39,158,54.5428571428571,10.3022089963309,43.7625724592959,89.7247732665429,0.901627486437613,IT
sweater,clothing,pullover,25,1,clothing,ch,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,ND,0.2,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,18,2,worn_for_warmth,sf,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,0.5,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,12,3,made_of_wool,em,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,1.0,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,11,4,worn_for_the_cold,sf,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,0.5,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,7,5,different_colours,ese,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,ND,0.142857,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,6,6,worn_in_winter,st,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,1.0,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,5,7,worn_on_top_of_shirts,sf,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,1.0,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sword,implement,spada,21,1,has_a_handle,ece,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,ND,0.25,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
